,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (MHz),Memory Current Clock (MHz),Memory Allocation Used (MB),Memory Utilization (%),Current Time,Time Delta,Iteration,GPU Clock Utilization,Memory Clock Utilization
97,0.74,231.56,65.0,1410000000.0,1215000000.0,6810501120.0,0.39,-2.208941839e+18,298.0,7.0,1.0,1.0
98,0.7400000000000001,231.55999999999997,65.0,1410000000.0,1215000000.0,6810501120.0,0.39000000000000007,-2.2089418365e+18,300.5,4.0,1.0,1.0
99,0.7445454545454545,232.37818181818176,65.45454545454545,1396363636.3636363,1215000000.0,6810501120.0,0.385,-2.2089418283636365e+18,308.54545454545456,4.409090909090909,0.9903288201160543,1.0
100,0.75,233.36,66.0,1380000000.0,1215000000.0,6810501120.0,0.38000000000000006,-2.2089418206666668e+18,316.3333333333333,6.0,0.9787234042553191,1.0
101,0.75,233.36,66.0,1380000000.0,1215000000.0,6810501120.0,0.38,-2.208941819e+18,318.0,9.5,0.9787234042553192,1.0
102,0.75,233.36,66.0,1380000000.0,1215000000.0,6810501120.0,0.38000000000000006,-2.2089418166666668e+18,320.3333333333333,3.0,0.9787234042553191,1.0
103,0.745,239.48000000000002,65.0,1380000000.0,1215000000.0,6810501120.0,0.38625,-2.208941813e+18,324.0,4.25,0.9787234042553192,1.0
104,0.7400000000000001,245.6,64.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.2089418070909092e+18,329.90909090909093,4.0,0.9787234042553193,1.0
105,0.74,245.6,64.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.208941803e+18,333.0,5.0,0.9787234042553192,1.0
106,0.7400000000000001,244.86999999999998,64.33333333333333,1385000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.20894179925e+18,337.5833333333333,6.5,0.9822695035460994,1.0
107,0.7400000000000001,243.40999999999997,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941792181818e+18,344.72727272727275,5.7272727272727275,0.9893617021276596,1.0
108,0.74,243.41,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941788e+18,349.0,1.0,0.9893617021276596,1.0
109,0.7400000000000001,243.41000000000003,65.0,1395000000.0,1215000000.0,6810501120.0,0.39000000000000007,-2.2089417854285714e+18,351.57142857142856,6.0,0.9893617021276596,1.0
110,0.7799999999999999,244.4,66.0,1395000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.208941782e+18,355.0,4.666666666666667,0.9893617021276596,1.0
111,0.78,244.39999999999998,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089417781111112e+18,358.77777777777777,6.777777777777778,0.9893617021276595,1.0
112,0.78,244.4,66.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941772090909e+18,364.90909090909093,5.2727272727272725,0.9893617021276596,1.0
113,0.74,245.15,65.0,1410000000.0,1215000000.0,6810501120.0,0.38,-2.2089417645e+18,372.5,4.125,1.0,1.0
114,0.74,245.15,65.0,1410000000.0,1215000000.0,6810501120.0,0.38,-2.208941761e+18,376.0,7.0,1.0,1.0
115,0.7399999999999999,245.15,65.0,1410000000.0,1215000000.0,6810501120.0,0.38000000000000006,-2.2089417593333332e+18,377.6666666666667,3.0,1.0,1.0
116,0.74,245.15,65.0,1410000000.0,1215000000.0,6810501120.0,0.38,-2.2089417575e+18,379.5,6.5,1.0,1.0
117,0.744,243.51399999999998,65.0,1404000000.0,1215000000.0,6810501120.0,0.38,-2.2089417533999997e+18,383.6,5.4,0.9957446808510639,1.0
118,0.75,241.05999999999997,65.0,1395000000.0,1215000000.0,6810501120.0,0.37999999999999995,-2.2089417480000003e+18,388.7142857142857,4.0,0.9893617021276596,1.0
119,0.75,241.06,65.0,1395000000.0,1215000000.0,6810501120.0,0.38,-2.2089417431111112e+18,393.77777777777777,5.0,0.9893617021276595,1.0
120,0.5800000000000001,248.26000000000002,64.33333333333333,1402500000.0,1215000000.0,6810501120.0,0.24500000000000008,-2.2089417383333332e+18,398.5,6.5,0.9946808510638299,1.0
121,0.24000000000000007,262.65999999999997,63.0,1410000000.0,1215000000.0,6810501120.0,0.11000000000000003,-2.2089417324166666e+18,404.5,5.916666666666667,1.0,1.0
122,0.24000000000000005,259.866,63.2,1408500000.0,1215000000.0,6810501120.0,0.13799999999999998,-2.2089417254e+18,411.4,6.7,0.9989361702127659,1.0
123,0.74,234.72,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089417192222223e+18,417.6666666666667,4.666666666666667,0.9893617021276595,1.0
124,0.7400000000000001,234.71999999999997,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089417115454543e+18,425.1818181818182,3.5454545454545454,0.9893617021276596,1.0
125,0.7400000000000001,249.40999999999997,65.0,1395000000.0,1215000000.0,6810501120.0,0.37000000000000005,-2.2089417044545454e+18,432.45454545454544,6.454545454545454,0.9893617021276596,1.0
126,0.74,249.41,65.0,1395000000.0,1215000000.0,6810501120.0,0.37,-2.2089416975999995e+18,439.3,6.5,0.9893617021276595,1.0
127,0.7457142857142857,248.3957142857143,64.28571428571429,1395000000.0,1215000000.0,6810501120.0,0.3914285714285714,-2.2089416922857144e+18,444.7142857142857,4.857142857142857,0.9893617021276596,1.0
128,0.75,247.99,64.0,1395000000.0,1215000000.0,6810501120.0,0.39999999999999997,-2.2089416877142858e+18,449.14285714285717,4.571428571428571,0.9893617021276596,1.0
129,0.75,247.98999999999998,64.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.2089416824444447e+18,454.44444444444446,4.777777777777778,0.9893617021276595,1.0
130,0.7639999999999999,230.987,64.0,1374000000.0,1215000000.0,6810501120.0,0.4,-2.2089416765999997e+18,460.4,6.3,0.9744680851063832,1.0
131,0.77,223.7,64.0,1365000000.0,1215000000.0,6810501120.0,0.4,-2.2089416704444444e+18,466.44444444444446,6.666666666666667,0.9680851063829787,1.0
132,0.7566666666666668,229.0866666666667,64.0,1377500000.0,1215000000.0,6810501120.0,0.39166666666666666,-2.2089416639166666e+18,473.0,5.5,0.9769503546099293,1.0
133,0.7300000000000001,239.86000000000004,64.0,1395000000.0,1215000000.0,6810501120.0,0.37999999999999995,-2.2089416566363638e+18,480.3636363636364,6.0,0.9893617021276596,1.0
134,0.7366666666666667,238.60000000000005,64.0,1395000000.0,1215000000.0,6810501120.0,0.385,-2.208941649833333e+18,487.1666666666667,5.666666666666667,0.9893617021276596,1.0
135,0.77,234.82,64.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941643625e+18,493.25,7.5,0.9893617021276596,1.0
136,0.77,234.82,64.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941638625e+18,498.125,4.5,0.9893617021276596,1.0
137,0.77,234.82,64.0,1395000000.0,1215000000.0,6810501120.0,0.4,-2.208941635e+18,502.0,11.5,0.9893617021276596,1.0
138,0.7608333333333333,238.77083333333337,64.0,1381250000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.208941630166667e+18,506.75,5.666666666666667,0.9796099290780144,1.0
139,0.7599999999999999,239.13000000000002,64.0,1380000000.0,1215000000.0,6810501120.0,0.39999999999999997,-2.2089416249999997e+18,512.0,6.5,0.9787234042553193,1.0
140,0.7538461538461539,233.70538461538462,64.0,1380000000.0,1215000000.0,6810501120.0,0.3923076923076923,-2.2089416187692308e+18,518.0,6.846153846153846,0.9787234042553193,1.0
141,0.74,221.5,64.0,1380000000.0,1215000000.0,6810501120.0,0.38,-2.2089416121111112e+18,524.7777777777778,5.0,0.9787234042553192,1.0
142,0.74,221.5,64.0,1380000000.0,1215000000.0,6810501120.0,0.38,-2.208941606875e+18,530.0,6.5,0.9787234042553192,1.0
143,0.7483333333333334,243.69999999999996,64.0,1392500000.0,1215000000.0,6810501120.0,0.3966666666666667,-2.20894160075e+18,536.0833333333334,5.666666666666667,0.9875886524822696,1.0
144,0.75,248.13999999999996,64.0,1395000000.0,1215000000.0,6810501120.0,0.4000000000000001,-2.2089415936666665e+18,543.3333333333334,4.25,0.9893617021276596,1.0
145,0.75,243.44666666666666,64.0,1395000000.0,1215000000.0,6810501120.0,0.39222222222222225,-2.208941587222222e+18,549.7777777777778,4.111111111111111,0.9893617021276595,1.0
146,0.75,241.10000000000002,64.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089415814444447e+18,555.5555555555555,1.8888888888888888,0.9893617021276595,1.0
147,0.7490909090909091,241.31636363636363,64.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089415750909092e+18,561.8181818181819,4.0,0.9893617021276596,1.0
148,0.7400000000000001,243.48,64.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089415665454546e+18,570.3636363636364,6.0,0.9893617021276596,1.0
