GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Response Time,Eval Rate
0.8000000000000002,170.31000000000003,44.0,1380000000.0,6669991936.0,0.5299999999999999,-2.2089325269629632e+18,223.62962962962962,14.0,5.949438376,81.98812086636116
0.8000000000000002,175.45324324324318,44.0,1380000000.0,6669991936.0,0.5267567567567567,-2.2089325192432425e+18,231.32432432432432,19.0,8.780840177,80.10048432686597
0.7999999999999998,187.60999999999999,44.0,1380000000.0,6669991936.0,0.52,-2.2089325095813955e+18,241.0,22.0,10.132839782,81.83948335924656
0.8,187.61,44.0,1380000000.0,6669991936.0,0.52,-2.208932504e+18,246.75,2.5,0.888768939,82.63846390380019
0.805,180.495,44.0,1380000000.0,6669991936.0,0.55125,-2.2089325025e+18,248.0,4.5,1.70584645,82.46333144272401
0.81,173.38,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089324993888888e+18,251.22222222222223,9.5,4.257368292,81.64600283990274
0.81,173.38,44.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089324941199995e+18,256.4,13.0,6.242879646,80.90655823799102
0.8099999999999998,184.50842105263158,44.0,1380000000.0,6669991936.0,0.5568421052631581,-2.2089324861052626e+18,264.4736842105263,19.5,9.42921705,80.14887250827938
0.8125490196078432,190.06196078431373,44.0,1380000000.0,6669991936.0,0.5527450980392157,-2.2089324753921564e+18,275.15686274509807,26.0,11.778499063,81.79241445456644
0.8237804878048782,187.75475609756097,44.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089324598658534e+18,290.6707317073171,41.5,18.848037412,80.69172825647068
0.8260344827586209,189.48793103448278,44.0,1380000000.0,6669991936.0,0.56,-2.2089324437931034e+18,306.7413793103448,29.5,13.333993225,81.96195314673827
0.8200000000000001,188.12662500000002,44.5125,1380000000.0,6669991936.0,0.5600000000000002,-2.2089324272250004e+18,323.375,40.5,19.219515892,80.46694741289417
0.82625,188.41071428571428,44.357142857142854,1380000000.0,6669991936.0,0.5535714285714286,-2.2089324105535713e+18,340.0,28.5,13.577073248,81.41566325720117
0.8300000000000001,190.05,44.0,1380000000.0,6669991936.0,0.55,-2.208932404e+18,347.0,1.0,0.20787784,77.92620957522976
0.8300000000000001,190.05,44.0,1380000000.0,6669991936.0,0.55,-2.2089324028000003e+18,347.8,3.0,0.992548608,83.45039447221073
0.8300000000000001,190.05,44.0,1380000000.0,6669991936.0,0.55,-2.2089324014999997e+18,348.75,2.5,0.920416987,82.20597816435412
0.8300000000000001,190.04999999999998,44.0,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323998333335e+18,350.6666666666667,3.5,1.501632629,82.48552785472035
0.8084615384615383,192.6469230769231,43.38461538461539,1380000000.0,6669991936.0,0.5499999999999999,-2.2089323971538463e+18,353.46153846153845,7.0,3.526590143,81.62996575879984
0.79,194.27,43.0,1380000000.0,6669991936.0,0.55,-2.2089323933999997e+18,357.4,3.0,2.621401058,81.86219562158803
0.79,194.27,43.0,1380000000.0,6669991936.0,0.55,-2.208932389882353e+18,360.5882352941176,9.0,5.02107123,80.75014892204902
0.7975000000000001,192.295625,43.1875,1380000000.0,6669991936.0,0.55,-2.2089323843125002e+18,366.3125,8.5,5.604665378,82.38131861615453
0.83,183.73999999999998,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.2089323765714289e+18,374.0,18.0,9.237479468,81.70616940654328
0.8139534883720927,187.1167441860465,44.0,1380000000.0,6669991936.0,0.5388372093023257,-2.2089323671162793e+18,383.4651162790698,22.0,9.962167251,80.02077625486474
0.8,189.79,44.0,1380000000.0,6669991936.0,0.53,-2.2089323613999997e+18,389.2,3.0,1.250536218,82.38577692966292
0.8,189.79,44.0,1380000000.0,6669991936.0,0.53,-2.2089323597499999e+18,390.75,4.5,1.667456043,82.96224348012251
0.8,189.79,44.0,1380000000.0,6669991936.0,0.53,-2.208932356875e+18,393.625,8.5,3.585091266,81.8427158463123
0.7952631578947368,187.9663157894737,44.0,1380000000.0,6669991936.0,0.5405263157894739,-2.2089323527368425e+18,397.89473684210526,10.0,4.476294429,81.69501837135107
0.79,185.94,44.0,1380000000.0,6669991936.0,0.55,-2.2089323452682926e+18,405.3170731707317,21.0,10.135429008,80.56576235516442
0.8010526315789475,182.58421052631573,44.0,1380000000.0,6669991936.0,0.558421052631579,-2.208932338e+18,412.5263157894737,10.0,4.063263692,83.31420792725172
0.8200000000000002,177.97000000000006,44.0,1380000000.0,6669991936.0,0.5700000000000002,-2.2089323305106386e+18,420.0425531914894,24.0,10.780415712,80.77336435262373
0.8071428571428572,186.79642857142852,44.0,1380000000.0,6669991936.0,0.5564285714285716,-2.2089323215714289e+18,428.9642857142857,14.5,6.28986311,81.03397028251692
0.8000000000000003,191.69999999999993,44.0,1380000000.0,6669991936.0,0.5500000000000002,-2.2089323153333338e+18,435.2,15.5,6.339001271,80.73440191019918
0.8204878048780488,184.45756097560974,44.0,1380000000.0,6669991936.0,0.5551219512195122,-2.208932307439024e+18,443.1219512195122,21.0,9.533326504,81.89433254623108
0.84,177.56,44.0,1380000000.0,6669991936.0,0.56,-2.208932302e+18,448.5,1.5,0.519888921,82.7421549853905
0.84,177.56,44.0,1380000000.0,6669991936.0,0.56,-2.208932302e+18,449.0,1.5,0.393149931,82.68176023220468
0.84,177.56,44.0,1380000000.0,6669991936.0,0.56,-2.208932301e+18,449.0,1.5,0.2878666,82.3663357730303
0.84,177.56,44.0,1380000000.0,6669991936.0,0.56,-2.2089323e+18,450.5,4.5,1.691279756,83.12661960780642
0.84,177.56000000000006,44.0,1380000000.0,6669991936.0,0.56,-2.2089322961481485e+18,454.4074074074074,14.0,5.604544333,80.81100437209987
0.810909090909091,175.32,43.27272727272727,1380000000.0,6669991936.0,0.5600000000000002,-2.2089322920000003e+18,458.3636363636364,6.0,2.069457,82.64615943548527
0.8000000000000002,174.48,43.0,1380000000.0,6669991936.0,0.5600000000000003,-2.2089322893571433e+18,461.14285714285717,7.5,2.889332908,82.47723858671343
0.8,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322875e+18,463.0,1.5,0.36020129,81.41364454214579
0.7999999999999999,174.48,43.0,1380000000.0,6669991936.0,0.56,-2.2089322828536586e+18,467.7073170731707,21.0,9.165751575,80.78748996622126
0.8000000000000003,189.92400000000004,43.0,1380000000.0,6669991936.0,0.5693333333333335,-2.2089322762000003e+18,474.4,8.0,3.335696328,81.70972928739185
0.8000000000000002,192.30000000000004,43.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089322721578944e+18,478.36842105263156,10.0,4.584883413,81.13025072195205
0.8000000000000002,192.30000000000004,43.0,1380000000.0,6669991936.0,0.5700000000000001,-2.2089322666800003e+18,483.88,13.0,6.045977834,80.65668228930934
0.8000000000000002,189.4025,43.0,1380000000.0,6669991936.0,0.5616666666666666,-2.2089322608333332e+18,489.7083333333333,12.5,5.618702339,80.44654575976641
0.8000000000000002,188.63999999999996,43.0,1380000000.0,6669991936.0,0.5600000000000002,-2.2089322554999997e+18,495.0,10.5,4.736927491,82.90439303742069
0.8057142857142858,188.1626785714286,43.589285714285715,1380000000.0,6669991936.0,0.5423214285714286,-2.2089322464464284e+18,504.14285714285717,28.5,13.239929137,80.30574634646773
0.8099999999999998,187.82999999999998,44.0,1380000000.0,6669991936.0,0.5299999999999999,-2.2089322363214287e+18,514.1785714285714,14.5,6.724486555,80.33588759557863
0.4913793103448276,180.01896551724136,43.03448275862069,1380000000.0,6669991936.0,0.28862068965517246,-2.2089322287241377e+18,521.8620689655172,15.0,9.312371059,82.00743841243079
0.5790000000000001,178.675,43.3,1380000000.0,6669991936.0,0.3550000000000001,-2.2089322192500006e+18,531.45,10.5,7.641057292,80.08795679149745
0.8100000000000005,176.18999999999997,44.0,1380000000.0,6669991936.0,0.5300000000000002,-2.2089322098510638e+18,540.6808510638298,24.0,11.275107784,82.27754668546568
