GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter
3.659965055984604e-19,8.721268397581736e-17,1.964053560014574e-17,6.247361855791038e-10,3.0195545796666827e-09,2.4898905946993266e-19,-1.0,1.60014647309698e-16,3.1689516659809613e-18
3.5763883148276354e-19,8.794746302804616e-17,1.9466417409821307e-17,6.247361866407768e-10,3.0195545847980956e-09,2.4898905989306323e-19,-1.0,1.617976181923287e-16,1.358122144871254e-18
3.5763883205229073e-19,8.79474631680994e-17,1.9466417440820887e-17,6.247361876356471e-10,3.0195545896066297e-09,2.489890602895695e-19,-1.0,1.632409561042846e-16,4.074366441102046e-18
3.6103413833022824e-19,8.705364924958958e-17,1.955130012430938e-17,6.247361892109277e-10,3.0195545972204773e-09,2.489890609173988e-19,-1.0,1.6583237341328115e-16,3.8480127596325265e-18
3.7574712961031235e-19,8.318045493325155e-17,1.991912494319728e-17,6.247361914002784e-10,3.0195546078023255e-09,2.489890617899661e-19,-1.0,1.6931256201717689e-16,8.14873293130798e-18
3.684827568689638e-19,8.470913232636632e-17,1.9919125028459423e-17,6.247361940744093e-10,3.0195546207272757e-09,2.439355850472542e-19,-1.0,1.7359749080035277e-16,9.959562514229711e-18
3.6216591054556687e-19,8.59193352030539e-17,1.9919125080006177e-17,6.247361956911027e-10,3.0195546285412853e-09,2.3993491573643803e-19,-1.0,1.7619371548041824e-16,1.3581221645458756e-18
3.6216591081609286e-19,8.591933526723283e-17,1.9919125094885107e-17,6.247361961577602e-10,3.019554630796793e-09,2.3993491591566155e-19,-1.0,1.7689541206423534e-16,2.0371832483405224e-18
3.62165911287464e-19,8.591933537905973e-17,1.991912512081052e-17,6.247361969708753e-10,3.019554634726845e-09,2.399349162279449e-19,-1.0,1.7819694603816e-16,3.8480128074293044e-18
3.6002150853982226e-19,8.50937402209649e-17,1.99191251581265e-17,6.247361981412403e-10,3.0195546403836017e-09,2.4470025762435313e-19,-1.0,1.8012988779358415e-16,4.527073899574205e-18
