,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
15,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:01,23,Live,16,True,0.9833333333333333,1.0
16,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:03,25,Live,17,True,0.9833333333333333,1.0
17,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:04,27,Live,18,True,0.9833333333333333,1.0
18,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:06,28,Live,19,True,0.9833333333333333,1.0
19,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:07,30,Live,20,True,0.9833333333333333,1.0
20,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:09,31,Live,21,True,0.9833333333333333,1.0
21,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:11,33,Live,22,True,0.9833333333333333,1.0
22,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:12,34,Live,23,True,0.9833333333333333,1.0
23,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:13,36,Live,24,True,0.9833333333333333,1.0
24,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:15,37,Live,25,True,0.9833333333333333,1.0
25,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:16,38,Live,26,True,0.9833333333333333,1.0
26,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:17,40,Live,27,True,0.9833333333333333,1.0
27,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:19,41,Live,28,True,0.9833333333333333,1.0
28,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:20,42,Live,29,True,0.9833333333333333,1.0
29,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:21,44,Live,30,True,0.9833333333333333,1.0
30,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:23,45,Live,31,True,0.9833333333333333,1.0
31,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:24,46,Live,32,True,0.9833333333333333,1.0
32,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:25,48,Live,33,True,0.9833333333333333,1.0
33,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:27,49,Live,34,True,0.9891304347826086,1.0
34,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:28,50,Live,35,True,0.9891304347826086,1.0
35,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:29,52,Live,36,True,0.9891304347826086,1.0
36,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:31,53,Live,37,True,0.9891304347826086,1.0
37,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:32,54,Live,38,True,0.9891304347826086,1.0
38,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:33,55,Live,39,True,0.9891304347826086,1.0
39,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:34,57,Live,40,True,0.9891304347826086,1.0
40,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:36,58,Live,41,True,0.9891304347826086,1.0
41,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:37,59,Live,42,True,0.9891304347826086,1.0
42,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:38,60,Live,43,True,0.9891304347826086,1.0
43,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:39,62,Live,44,True,0.9891304347826086,1.0
44,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:41,63,Live,45,True,0.9782608695652174,1.0
45,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:42,64,Live,46,True,0.9782608695652174,1.0
46,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:43,66,Live,47,True,0.9782608695652174,1.0
47,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:45,67,Live,48,True,0.9782608695652174,1.0
48,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:46,68,Live,49,True,0.9782608695652174,1.0
49,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:47,69,Live,50,True,0.9782608695652174,1.0
50,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:48,71,Live,51,True,0.9782608695652174,1.0
51,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:50,72,Live,52,True,0.9782608695652174,1.0
52,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:51,73,Live,53,True,0.9782608695652174,1.0
53,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:52,74,Live,54,True,0.9782608695652174,1.0
54,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:53,76,Live,55,True,0.9782608695652174,1.0
55,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:55,77,Live,56,True,0.9782608695652174,1.0
56,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:56,78,Live,57,True,0.9833333333333333,1.0
57,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:57,79,Live,58,True,0.9833333333333333,1.0
58,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:58,81,Live,59,True,0.9833333333333333,1.0
59,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:00,82,Live,60,True,0.9833333333333333,1.0
60,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:02,84,Live,61,True,0.9833333333333333,1.0
61,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:03,85,Live,62,True,0.9833333333333333,1.0
62,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:05,87,Live,63,True,0.9833333333333333,1.0
63,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:06,88,Live,64,True,0.9833333333333333,1.0
64,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:08,90,Live,65,True,0.9833333333333333,1.0
65,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:09,91,Live,66,True,0.9833333333333333,1.0
66,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:10,92,Live,67,True,0.9833333333333333,1.0
67,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:12,94,Live,68,True,0.9782608695652174,1.0
68,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:13,95,Live,69,True,0.9782608695652174,1.0
69,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:14,96,Live,70,True,0.9782608695652174,1.0
70,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:15,98,Live,71,True,0.9782608695652174,1.0
71,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:17,99,Live,72,True,0.9782608695652174,1.0
72,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:18,100,Live,73,True,0.9782608695652174,1.0
73,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:19,102,Live,74,True,0.9782608695652174,1.0
74,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:21,103,Live,75,True,0.9782608695652174,1.0
75,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:22,104,Live,76,True,0.9782608695652174,1.0
76,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:23,105,Live,77,True,0.9782608695652174,1.0
77,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:24,107,Live,78,True,0.9782608695652174,1.0
78,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:26,108,Live,79,True,0.9782608695652174,1.0
79,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:27,109,Live,80,True,0.9782608695652174,1.0
80,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:28,110,Live,81,True,0.9782608695652174,1.0
81,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:29,112,Live,82,True,0.9782608695652174,1.0
82,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:31,113,Live,83,True,0.9782608695652174,1.0
83,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:32,114,Live,84,True,0.9782608695652174,1.0
84,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:33,115,Live,85,True,0.9782608695652174,1.0
85,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:34,117,Live,86,True,0.9782608695652174,1.0
86,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:36,118,Live,87,True,0.9782608695652174,1.0
87,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:37,119,Live,88,True,0.9782608695652174,1.0
88,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:38,121,Live,89,True,0.9782608695652174,1.0
89,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:40,122,Live,90,True,0.9782608695652174,1.0
90,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:41,123,Live,91,True,0.972463768115942,1.0
91,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:42,124,Live,92,True,0.972463768115942,1.0
92,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:43,126,Live,93,True,0.972463768115942,1.0
93,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:45,127,Live,94,True,0.972463768115942,1.0
94,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:46,128,Live,95,True,0.972463768115942,1.0
95,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:47,130,Live,96,True,0.972463768115942,1.0
96,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:49,131,Live,97,True,0.972463768115942,1.0
97,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:50,132,Live,98,True,0.972463768115942,1.0
98,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:51,133,Live,99,True,0.972463768115942,1.0
99,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:52,135,Live,100,True,0.972463768115942,1.0
100,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:54,136,Live,101,True,0.972463768115942,1.0
101,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:55,137,Live,102,True,0.972463768115942,1.0
102,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:47:56,138,Live,103,True,0.972463768115942,1.0
103,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:47:57,140,Live,104,True,0.972463768115942,1.0
104,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:47:59,141,Live,105,True,0.972463768115942,1.0
105,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:00,142,Live,106,True,0.972463768115942,1.0
106,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:01,143,Live,107,True,0.972463768115942,1.0
107,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:02,145,Live,108,True,0.972463768115942,1.0
108,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:04,146,Live,109,True,0.972463768115942,1.0
109,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:05,147,Live,110,True,0.972463768115942,1.0
110,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:06,148,Live,111,True,0.972463768115942,1.0
111,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:07,150,Live,112,True,0.972463768115942,1.0
112,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:09,151,Live,113,True,0.972463768115942,1.0
113,1.0,244.39,55.0,1342000.0,877000.0,15159263232.0,0.28,On,13:48:10,152,Live,114,True,0.972463768115942,1.0
114,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:11,153,Live,115,True,0.972463768115942,1.0
115,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:12,155,Live,116,True,0.972463768115942,1.0
116,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:14,156,Live,117,True,0.972463768115942,1.0
117,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:15,157,Live,118,True,0.972463768115942,1.0
118,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:16,158,Live,119,True,0.972463768115942,1.0
119,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:17,160,Live,120,True,0.972463768115942,1.0
120,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:19,161,Live,121,True,0.972463768115942,1.0
121,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:20,162,Live,122,True,0.972463768115942,1.0
122,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:21,163,Live,123,True,0.972463768115942,1.0
123,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:22,165,Live,124,True,0.972463768115942,1.0
124,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:24,166,Live,125,True,0.972463768115942,1.0
125,1.0,252.6,55.0,1342000.0,877000.0,15159263232.0,0.24,On,13:48:25,167,Live,126,True,0.972463768115942,1.0
126,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:26,168,Live,127,True,0.9833333333333333,1.0
127,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:27,170,Live,128,True,0.9833333333333333,1.0
128,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:29,171,Live,129,True,0.9833333333333333,1.0
129,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:30,172,Live,130,True,0.9833333333333333,1.0
130,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:31,174,Live,131,True,0.9833333333333333,1.0
131,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:33,175,Live,132,True,0.9833333333333333,1.0
132,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:34,176,Live,133,True,0.9833333333333333,1.0
133,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:35,177,Live,134,True,0.9833333333333333,1.0
134,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:36,179,Live,135,True,0.9833333333333333,1.0
135,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:38,180,Live,136,True,0.9833333333333333,1.0
136,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:39,181,Live,137,True,0.9833333333333333,1.0
137,1.0,239.36,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:48:40,182,Live,138,True,0.9833333333333333,1.0
138,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:41,184,Live,139,True,0.972463768115942,1.0
139,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:43,185,Live,140,True,0.972463768115942,1.0
140,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:44,186,Live,141,True,0.972463768115942,1.0
141,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:45,187,Live,142,True,0.972463768115942,1.0
142,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:46,189,Live,143,True,0.972463768115942,1.0
143,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:48,190,Live,144,True,0.972463768115942,1.0
144,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:49,191,Live,145,True,0.972463768115942,1.0
145,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:51,193,Live,146,True,0.972463768115942,1.0
146,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:52,194,Live,147,True,0.972463768115942,1.0
147,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:53,196,Live,148,True,0.972463768115942,1.0
148,1.0,239.6,55.0,1342000.0,877000.0,15159263232.0,0.23,On,13:48:55,197,Live,149,True,0.972463768115942,1.0
149,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:48:56,198,Live,150,True,0.9782608695652174,1.0
150,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:48:57,199,Live,151,True,0.9782608695652174,1.0
151,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:48:58,201,Live,152,True,0.9782608695652174,1.0
152,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:00,202,Live,153,True,0.9782608695652174,1.0
153,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:01,203,Live,154,True,0.9782608695652174,1.0
154,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:02,205,Live,155,True,0.9782608695652174,1.0
155,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:04,206,Live,156,True,0.9782608695652174,1.0
156,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:05,207,Live,157,True,0.9782608695652174,1.0
157,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:06,209,Live,158,True,0.9782608695652174,1.0
158,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:08,210,Live,159,True,0.9782608695652174,1.0
159,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:09,211,Live,160,True,0.9782608695652174,1.0
160,1.0,248.75,55.0,1350000.0,877000.0,15159263232.0,0.19,On,13:49:10,212,Live,161,True,0.9782608695652174,1.0
161,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:11,214,Live,162,True,0.9782608695652174,1.0
162,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:13,215,Live,163,True,0.9782608695652174,1.0
163,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:14,216,Live,164,True,0.9782608695652174,1.0
164,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:15,217,Live,165,True,0.9782608695652174,1.0
165,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:16,219,Live,166,True,0.9782608695652174,1.0
166,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:18,220,Live,167,True,0.9782608695652174,1.0
167,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:19,221,Live,168,True,0.9782608695652174,1.0
168,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:20,222,Live,169,True,0.9782608695652174,1.0
169,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:21,224,Live,170,True,0.9782608695652174,1.0
170,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:23,225,Live,171,True,0.9782608695652174,1.0
171,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:24,226,Live,172,True,0.9782608695652174,1.0
172,1.0,242.28,55.0,1350000.0,877000.0,15159263232.0,0.23,On,13:49:25,228,Live,173,True,0.9782608695652174,1.0
173,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:27,229,Live,174,True,0.972463768115942,1.0
174,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:28,230,Live,175,True,0.972463768115942,1.0
175,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:29,232,Live,176,True,0.972463768115942,1.0
176,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:31,233,Live,177,True,0.972463768115942,1.0
177,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:32,234,Live,178,True,0.972463768115942,1.0
178,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:33,236,Live,179,True,0.972463768115942,1.0
179,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:35,237,Live,180,True,0.972463768115942,1.0
180,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:36,238,Live,181,True,0.972463768115942,1.0
181,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:37,240,Live,182,True,0.972463768115942,1.0
182,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:39,241,Live,183,True,0.972463768115942,1.0
183,1.0,245.3,55.0,1342000.0,877000.0,15159263232.0,0.26,On,13:49:40,242,Live,184,True,0.972463768115942,1.0
184,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:41,243,Live,185,True,0.9833333333333333,1.0
185,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:43,245,Live,186,True,0.9833333333333333,1.0
186,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:44,246,Live,187,True,0.9833333333333333,1.0
187,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:46,248,Live,188,True,0.9833333333333333,1.0
188,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:47,249,Live,189,True,0.9833333333333333,1.0
189,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:48,251,Live,190,True,0.9833333333333333,1.0
190,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:50,252,Live,191,True,0.9833333333333333,1.0
191,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:51,253,Live,192,True,0.9833333333333333,1.0
192,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:52,254,Live,193,True,0.9833333333333333,1.0
193,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:54,256,Live,194,True,0.9833333333333333,1.0
194,1.0,243.97,55.0,1357000.0,877000.0,15159263232.0,0.25,On,13:49:55,257,Live,195,True,0.9833333333333333,1.0
195,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:49:56,258,Live,196,True,1.0,1.0
196,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:49:57,260,Live,197,True,1.0,1.0
197,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:49:59,261,Live,198,True,1.0,1.0
198,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:00,262,Live,199,True,1.0,1.0
199,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:01,263,Live,200,True,1.0,1.0
200,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:02,265,Live,201,True,1.0,1.0
201,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:04,266,Live,202,True,1.0,1.0
202,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:05,267,Live,203,True,1.0,1.0
203,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:06,268,Live,204,True,1.0,1.0
204,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:07,270,Live,205,True,1.0,1.0
205,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:09,271,Live,206,True,1.0,1.0
206,0.0,44.85,47.0,1380000.0,877000.0,5242880.0,0.0,Off,13:50:10,272,Live,207,True,1.0,1.0
207,0.0,26.02,36.0,135000.0,877000.0,5242880.0,0.0,Off,13:50:11,273,Live,208,True,0.09782608695652174,1.0
208,0.0,26.02,36.0,135000.0,877000.0,5242880.0,0.0,Off,13:50:12,275,Live,209,True,0.09782608695652174,1.0
209,0.0,26.02,36.0,135000.0,877000.0,5242880.0,0.0,Off,13:50:14,276,Live,210,True,0.09782608695652174,1.0
