,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
95,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:52,132,Live,96,True,0.09782608695652174,1.0
96,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:53,134,Live,97,True,0.09782608695652174,1.0
97,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:54,135,Live,98,True,0.09782608695652174,1.0
98,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:56,136,Live,99,True,0.09782608695652174,1.0
99,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:57,138,Live,100,True,0.09782608695652174,1.0
100,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:46:59,139,Live,101,True,0.09782608695652174,1.0
101,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:00,141,Live,102,True,0.09782608695652174,1.0
102,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:01,142,Live,103,True,0.09782608695652174,1.0
103,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:03,143,Live,104,True,0.09782608695652174,1.0
104,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:05,145,Live,105,True,0.09782608695652174,1.0
105,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:06,146,Live,106,True,0.09782608695652174,1.0
106,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:07,148,Live,107,True,0.09782608695652174,1.0
107,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:09,149,Live,108,True,0.09782608695652174,1.0
108,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:10,150,Live,109,True,0.09782608695652174,1.0
109,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:11,152,Live,110,True,0.09782608695652174,1.0
110,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:13,153,Live,111,True,0.09782608695652174,1.0
111,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:14,155,Live,112,True,0.09782608695652174,1.0
112,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:15,156,Live,113,True,0.09782608695652174,1.0
113,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:17,157,Live,114,True,0.09782608695652174,1.0
114,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:18,159,Live,115,True,0.09782608695652174,1.0
115,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:19,160,Live,116,True,0.09782608695652174,1.0
116,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:21,161,Live,117,True,0.09782608695652174,1.0
117,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:22,162,Live,118,True,0.09782608695652174,1.0
118,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:23,164,Live,119,True,0.09782608695652174,1.0
119,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:25,165,Live,120,True,0.09782608695652174,1.0
120,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:26,166,Live,121,True,0.09782608695652174,1.0
121,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:28,168,Live,122,True,0.09782608695652174,1.0
122,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:29,169,Live,123,True,0.09782608695652174,1.0
123,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:30,171,Live,124,True,0.09782608695652174,1.0
124,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:32,172,Live,125,True,0.09782608695652174,1.0
125,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:33,174,Live,126,True,0.09782608695652174,1.0
126,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:35,175,Live,127,True,0.09782608695652174,1.0
127,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:36,177,Live,128,True,0.09782608695652174,1.0
128,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:38,178,Live,129,True,0.09782608695652174,1.0
129,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:39,179,Live,130,True,0.09782608695652174,1.0
130,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:40,181,Live,131,True,0.09782608695652174,1.0
131,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:42,182,Live,132,True,0.09782608695652174,1.0
132,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:43,183,Live,133,True,0.09782608695652174,1.0
