,0,1,2,3,4,5,6,7,8,9
38,3.685792642446252e-19,8.47020551148641e-17,1.9919125027754563e-17,6.247361940523022e-10,3.0195546206204255e-09,2.4395898076921635e-19,-1.0,1.7353783168119505e-16,9.733208820380071e-18,4.527073869944219e-19
39,3.620630231196904e-19,8.587972345291208e-17,1.9919125113944896e-17,6.247361967555444e-10,3.0195546336860803e-09,2.403464683170211e-19,-1.0,1.77883137445761e-16,4.311008999350677e-18,4.527073889532931e-19
40,3.5763883823962976e-19,8.417641212946427e-17,1.9919125167776847e-17,6.247361984439102e-10,3.019554641846505e-09,2.489890645972106e-19,-1.0,1.8055479744882572e-16,6.564257157562825e-18,4.527073901767465e-19
41,3.5763883852746226e-19,8.417641219721053e-17,1.9919125183808023e-17,6.247361989467061e-10,3.0195546442766826e-09,2.489890647976003e-19,-1.0,1.8138476114346397e-16,3.2695533761301046e-18,4.527073905410915e-19
42,3.576388390809048e-19,8.41764123274727e-17,1.991912521463267e-17,6.247361999134793e-10,3.0195546489494134e-09,2.489890651829084e-19,-1.0,1.829470457547145e-16,7.243318259866426e-18,4.5270739124165165e-19
43,3.5763883981281394e-19,8.417641249974004e-17,1.9919125255397236e-17,6.247362011920042e-10,3.019554655128943e-09,2.489890656924655e-19,-1.0,1.8502151117911022e-16,1.2834254567966173e-17,4.52707392168119e-19
44,3.6830980096958075e-19,8.125558778487518e-17,1.991912532021613e-17,6.247362032249605e-10,3.0195546649548868e-09,2.5631861478070327e-19,-1.0,1.8822926702756184e-16,5.76662989519244e-18,4.527073936412757e-19
45,3.7122006399783604e-19,8.056833510938398e-17,1.9919125385249738e-17,6.247362052646509e-10,3.0195546748133784e-09,2.58043215218008e-19,-1.0,1.9149522813546907e-16,1.6523819921854894e-17,4.527073951193122e-19
46,3.6424082629310044e-19,8.535958299387742e-17,1.9919125456525844e-17,6.247362075001288e-10,3.019554685618175e-09,2.5087534902631985e-19,-1.0,1.9506973097411176e-16,6.064392835485852e-18,4.527073967392238e-19
47,3.621659187636793e-19,8.678400828374659e-17,1.9919125532002355e-17,6.247362098673465e-10,3.019554697059714e-09,2.489890691500295e-19,-1.0,1.988478221211959e-16,6.962327576232797e-18,4.527073984545989e-19
