GPU Utilization (%),Power Draw (Watts),GPU Current Clock (MHz),Memory Allocation Used (MB),Response Time,GPU Utilization (%) Weight,Power Draw (Watts) Weight,GPU Current Clock (MHz) Weight,Memory Allocation Used (MB) Weight,Linear Combination
3.666929647264696e-19,8.646710649722926e-17,6.247361621265779e-10,3.019554466312944e-09,9.42921705,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.01924135178956
3.7008827174038184e-19,8.521763458398707e-17,6.247361651397269e-10,3.0195544808764802e-09,11.778499063,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.948259296637145
3.7438354006497443e-19,8.51649465952058e-17,6.247361695664651e-10,3.0195545022723555e-09,18.848037412,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.937644600830541
3.7183388604974456e-19,8.630328948467621e-17,6.247361742090422e-10,3.0195545247114523e-09,13.333993225,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.917895432884215
3.7166716682006736e-19,8.452627966200486e-17,6.247361790548439e-10,3.019554548132798e-09,19.219515892,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.353170271873289
3.732056100097523e-19,8.633868358081112e-17,6.247361839405643e-10,3.0195545717470843e-09,13.577073248,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.96044590655595
3.576388314665729e-19,8.794746302406471e-17,6.247361866124942e-10,3.019554584661397e-09,0.20787784,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,12.246259040330902
3.5763883168244733e-19,8.794746307715066e-17,6.247361869895914e-10,3.019554586484031e-09,0.992548608,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,12.246259047722846
3.576388319360996e-19,8.794746313952666e-17,6.247361874326801e-10,3.019554588625624e-09,0.920416987,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,12.246259056408423
3.576388322414076e-19,8.794746321460536e-17,6.24736187966003e-10,3.019554591203348e-09,1.501632629,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,12.246259066862738
3.5763883284277173e-19,8.794746336248769e-17,6.247361890164874e-10,3.019554596280683e-09,3.526590143,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,12.246259087454654
3.757471287719452e-19,8.318045474765929e-17,6.247361900063664e-10,3.019554601065093e-09,2.621401058,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.203116706081733
3.7574712936730746e-19,8.31804548794567e-17,6.24736190996246e-10,3.019554605849505e-09,5.02107123,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.203116719079345
3.7574713013777626e-19,8.318045505001808e-17,6.247361922772663e-10,3.0195546120410963e-09,5.604665378,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.203116735899851
