,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
127,3.4534959402687497e-19,1.1078672697523184e-16,6.344343665549893e-10,3.0831510446406443e-09,5854156767
128,3.350020414710748e-19,1.1098074387382971e-16,6.383147006408315e-10,3.0831510522176232e-09,3777196417
129,3.3500204216917953e-19,1.1098074410510046e-16,6.383147019710041e-10,3.083151058642546e-09,4744991129
130,3.372655702920443e-19,1.1005496169912408e-16,6.349194125296538e-10,3.0831510660555794e-09,5453913289
131,3.3952909843262523e-19,1.0912917929089151e-16,6.315241230846828e-10,3.083151073530645e-09,4756737557
132,3.3952909930789934e-19,1.0912917957221627e-16,6.315241247126928e-10,3.0831510814787197e-09,6199442820
133,1.2963838376825109e-19,1.1801866907836916e-16,6.383147086493885e-10,3.0831510909000955e-09,5894374101
134,1.0864931243844183e-19,1.1890761835450466e-16,6.383147105758455e-10,3.0831511002051573e-09,6747255438
135,2.2182568014761195e-19,1.1100224940406955e-16,6.340705984831611e-10,3.0831511083470882e-09,4457863873
136,3.3500204829023494e-19,1.062590280738972e-16,6.31524131574159e-10,3.0831511149769446e-09,4696660815
137,3.350020489347783e-19,1.062590282783394e-16,6.315241327892103e-10,3.0831511209089223e-09,3630169200
138,3.3500204976889327e-19,1.0902996329015544e-16,6.315241343616297e-10,3.0831511285855992e-09,6358091025
139,3.350020505271796e-19,1.1290927219187007e-16,6.31524135791102e-10,3.083151135564396e-09,3764208969
140,3.350020513787934e-19,1.1290927247889844e-16,6.31524137396509e-10,3.0831511434021212e-09,7073141290
141,3.385230949222752e-19,1.1233785788748363e-16,6.31524139190069e-10,3.0831511521584236e-09,4922883949
142,3.395291078386203e-19,1.122664312705326e-16,6.315241405798337e-10,3.083151158943366e-09,4368223356
143,3.4028361785292803e-19,1.113500802237831e-16,6.303923785279852e-10,3.083151166968983e-09,6463456619
144,3.4858321936670306e-19,1.0127021580822267e-16,6.179429797864281e-10,3.083151176506672e-09,6452184059
145,3.485832203135363e-19,1.0127021608329619e-16,6.179429814649052e-10,3.0831511848812283e-09,4794898785
146,3.38523099315478e-19,1.0533450553886218e-16,6.269970925657403e-10,3.083151192170194e-09,4368286983
