Prompt,GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Clock,Mem Used,Mem Util,Time,Time Delta,Iter
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932727000000000,23,35
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932727000000000,24,36
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932727000000000,24,37
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932726000000000,24,38
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932726000000000,24,39
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932726000000000,25,40
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932726000000000,25,41
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932726000000000,25,42
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932725000000000,25,43
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932725000000000,25,44
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932725000000000,26,45
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932725000000000,26,46
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932725000000000,26,47
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932724000000000,26,48
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932724000000000,26,49
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932724000000000,27,50
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932724000000000,27,51
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932723000000000,27,52
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932723000000000,27,53
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932723000000000,28,54
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932723000000000,28,55
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932723000000000,28,56
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932722000000000,28,57
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932722000000000,28,58
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932722000000000,29,59
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932722000000000,29,60
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932721000000000,29,61
