GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Resonse Time,Eval Rate
0.76,241.08,65.0,1410000000.0,6810501120.0,0.39,-2.208941973e+18,163.5,1.5,832668107,103.01747495333159
0.76,241.08,65.0,1410000000.0,6810501120.0,0.39,-2.208941972e+18,165.0,1.0,480040684,104.68800566487737
0.76,241.08,65.0,1410000000.0,6810501120.0,0.39,-2.208941972e+18,165.0,1.0,694961286,105.62363434442092
0.7600000000000001,241.08,65.0,1410000000.0,6810501120.0,0.38999999999999996,-2.2089419703333335e+18,166.66666666666666,2.0,1470097261,104.84505064863323
0.7600000000000001,241.08,65.0,1410000000.0,6810501120.0,0.38999999999999996,-2.2089419683333332e+18,168.66666666666666,2.0,1516873217,104.27184126414042
0.76,241.08,65.0,1410000000.0,6810501120.0,0.39,-2.20894196625e+18,170.75,2.5,2374853333,104.31099504921818
0.764,240.208,65.0,1407000000.0,6810501120.0,0.39399999999999996,-2.2089419638e+18,173.2,3.0,2421023706,105.11069126468256
0.78,236.72,65.0,1395000000.0,6810501120.0,0.4,-2.2089419615e+18,175.5,1.5,1178629291,105.22471749951806
0.7800000000000001,236.72,65.0,1395000000.0,6810501120.0,0.39999999999999997,-2.2089419591666668e+18,177.66666666666666,3.5,2757265574,104.28502495109589
0.7799999999999999,236.72,65.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089419566666668e+18,180.33333333333334,2.0,1635131529,103.6476465166672
0.7799999999999999,236.72,65.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089419549999997e+18,181.66666666666666,2.0,1124117322,104.16230556059114
0.7799999999999999,236.72,65.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089419533333332e+18,183.66666666666666,2.0,1057630320,105.19081563914708
0.78,236.72,65.0,1395000000.0,6810501120.0,0.4,-2.208941952e+18,185.0,1.5,882061044,104.52831336657677
0.78,241.77666666666664,65.0,1390000000.0,6810501120.0,0.39555555555555555,-2.2089419486666665e+18,188.11111111111111,5.0,5078176268,103.70546641096716
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.208941945e+18,192.0,2.5,1894405991,103.73831920251793
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.208941943e+18,194.0,1.0,960502414,104.89634533664683
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.2089419415e+18,195.5,1.5,1019615782,104.21681772052239
0.7799999999999999,251.89,65.0,1380000000.0,6810501120.0,0.38999999999999996,-2.2089419396666668e+18,197.33333333333334,2.0,1216412330,105.14655766348643
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.2089419385e+18,198.5,1.5,769472956,104.5515308004218
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.208941937e+18,199.5,1.5,882151252,104.90404584282825
0.78,251.89,65.0,1380000000.0,6810501120.0,0.39,-2.208941936e+18,201.0,1.5,1076014403,105.71773945014378
0.78,251.89,65.0,1380000000.0,6810501120.0,0.33749999999999997,-2.208941934e+18,202.75,2.5,2010840653,104.93310958686419
0.35000000000000003,75.08,61.0,1410000000.0,6810501120.0,0.17999999999999997,-2.208941931333333e+18,205.66666666666666,3.5,3002696318,103.84835580293961
0.35,75.08,61.0,1410000000.0,6810501120.0,0.18,-2.2089419285e+18,208.0,1.5,991266182,105.47840113777833
0.3499999999999999,75.08,61.0,1410000000.0,6810501120.0,0.18000000000000002,-2.2089419273333332e+18,209.66666666666666,2.0,1159877185,105.02007404823551
0.35,75.08,61.0,1410000000.0,6810501120.0,0.18,-2.208941926e+18,211.0,1.5,694591390,105.38043262372373
0.35,75.08,61.0,1410000000.0,6810501120.0,0.18,-2.208941924e+18,212.5,2.5,2128601224,104.37651641146218
0.35,75.08,61.0,1410000000.0,6810501120.0,0.18,-2.2089419225e+18,214.5,1.5,1164642110,104.83511366242212
0.3499999999999999,75.08,61.0,1410000000.0,6810501120.0,0.18000000000000002,-2.2089419210000003e+18,216.0,2.0,1280157076,103.67505348046281
0.3499999999999999,75.08,61.0,1410000000.0,6810501120.0,0.18000000000000002,-2.2089419193333332e+18,217.66666666666666,2.0,1225124154,104.25097809384621
0.21,166.38,63.0,1410000000.0,6810501120.0,0.02,-2.2089419175e+18,219.0,1.5,707498413,104.5532185440426
