,0,1,2,3,4,5,6,7,8,9,10
53,2.263527060330421e-19,3.411135279917944e-17,2.6256913899832883e-17,6.383146310131787e-10,3.083150715906128e-09,1.1317635301652104e-19,-1.0,6.02098198047892e-17,9.054108241321683e-19,4.527054120660842e-19,4.527054120660842e-19
54,2.2635270615259173e-19,3.411135281719557e-17,2.625691391370064e-17,6.383146313503086e-10,3.0831507175345133e-09,1.1317635307629587e-19,-1.0,6.088887795504717e-17,6.790581184577751e-19,4.527054123051835e-19,4.527054123051835e-19
55,2.2635270630629837e-19,3.4111352840359157e-17,2.6256913931530608e-17,6.383146317837613e-10,3.083150719628152e-09,1.1317635315314919e-19,-1.0,6.156793611531315e-17,6.79058118918895e-19,4.527054126125967e-19,4.527054126125967e-19
56,2.2635270660090277e-19,3.4111352884756045e-17,2.625691396570472e-17,6.383146326145457e-10,3.083150723640959e-09,1.1317635330045139e-19,-1.0,6.281287608175052e-17,2.0371743594081247e-18,4.527054132018055e-19,4.527054132018055e-19
57,3.062418981618736e-19,8.466203738201507e-17,2.7854697867593026e-17,6.335212832409541e-10,3.0831507336678456e-09,1.57914300530427e-19,-1.0,6.606836081213986e-17,4.074348732066666e-18,4.493058746389746e-19,4.52705414674074e-19
58,3.395290618419005e-19,1.0572482280340992e-16,2.852044119471964e-17,6.31524055025935e-10,3.083150741262417e-09,1.7655511215778828e-19,-1.0,6.85848704920639e-17,6.79058123683801e-19,4.478894007276135e-19,4.527054157892007e-19
59,3.401326697763929e-19,1.0617994287079948e-16,2.8641162699005936e-17,6.328821726007951e-10,3.0831507477294333e-09,1.7655511252811873e-19,-1.0,7.062204501124751e-17,3.6216433339101285e-18,4.488526046814149e-19,4.527054167387661e-19
60,3.440561175313939e-19,1.0913822212430057e-16,2.942585215729026e-17,6.383146391042965e-10,3.0831507549873807e-09,1.7655511294374156e-19,-1.0,7.303647407245378e-17,9.05410835608931e-19,4.527054178044655e-19,4.527054178044655e-19
61,3.4405611771310925e-19,1.0913822218194261e-16,2.9425852172831716e-17,6.383146394414264e-10,3.0831507566157664e-09,1.7655511303699028e-19,-1.0,7.356463043207928e-17,6.790581270653472e-19,4.527054180435648e-19,4.527054180435648e-19
62,3.4405611794674337e-19,1.0913822225605381e-16,2.9425852192813575e-17,6.383146398748791e-10,3.083150758709405e-09,1.7655511315688146e-19,-1.0,7.401733590038492e-17,6.790581275264672e-19,4.527054183509781e-19,4.527054183509781e-19
63,3.4405611810249944e-19,1.0913822230546128e-16,2.942585220613482e-17,6.383146401638477e-10,3.083150760105164e-09,1.7655511323680893e-19,-1.0,7.469639406172685e-17,4.5270541855592035e-19,4.5270541855592035e-19,4.5270541855592035e-19
